found_in_function,team,defect_category,ticket_count
26-03,DIPS,Top_Issue_Confirmed,9
26-03,DTSV_China,Showstopper_Candidate | Not Homologation relevant,9
26-03,IUK,Top_Issue_Confirmed,9
26-07,DTSV_China,Homologation L-labelled | Not Homologation relevant | Top_Issue_Confirmed,9
26-07,DTSV_China,Homologation L-labelled | Showstopper_Confirmed | Not Homologation relevant,9
26-07,IUK,Homologation L-labelled | Showstopper_Confirmed,9
26-11,DIPS,Showstopper_Candidate,9
27-07,IuK_TSP_Stability_Performance,Showstopper_Candidate,9
,,Showstopper_Candidate,8
24-03,DIPS,Showstopper_Confirmed,8
24-07,IUK,Homologation L-labelled | Showstopper_Confirmed,8
24-11,DIPS,Homologation L-labelled | Not Homologation relevant,8
25-07,IUK,Homologation L-labelled,8
25-07,IUK,Preventing Maturity Grade ConDrive | Showstopper_Candidate,8
25-11,DIPS,,8
25-11,DIPS,Homologation L-labelled | Top_Issue_Confirmed,8
25-11,DTSV_China,Homologation L-labelled | Top_Issue_Confirmed,8
25-11,IUK,,8
26-07,,Homologation L-labelled | Showstopper_Candidate,8
26-07,DTSV_China,No_Showstopper_Confirmed,8
26-07,IUK,Preventing Maturity Grade ConDrive,8
26-07,IuK_TSP_Stability_Performance,Showstopper_Candidate,8
,DIPS,Homologation L-labelled | Showstopper_Candidate | Not Homologation relevant,7
,DTSV_China,Homologation L-labelled | Not Homologation relevant,7
,IuK_TSP_HMI,,7
24-11,IUK,Homologation L-labelled | Not Homologation relevant,7
24-11,IUK,Homologation L-labelled | Showstopper_Confirmed | Not Homologation relevant,7
25-03,IUK,Homologation L-labelled | Showstopper_Candidate | Not Homologation relevant,7
25-07,DIPS,Obstructing Maturity Grade ConDrive | Showstopper_Confirmed,7
25-07,DIPS,Top_Issue_Confirmed,7
25-07,DTSV_China,Homologation L-labelled | Not Homologation relevant,7
25-07,DTSV_China,Homologation L-labelled | Showstopper_Confirmed,7
25-07,IUK,Homologation L-labelled | Showstopper_Candidate | Not Homologation relevant,7
25-07,IUK,Preventing Maturity Grade Customer Function | Showstopper_Confirmed,7
26-03,DIPS,Homologation L-labelled | Not Homologation relevant,7
26-03,IUK,Preventing Maturity Grade ConDrive | Homologation L-labelled,7
26-03,IUK,Preventing Maturity Grade ConDrive | Homologation L-labelled | Not Homologation relevant,7
26-07,,Homologation L-labelled | Top_Issue_Confirmed,7
26-07,,No_Showstopper_Candidate,7
26-07,DTSV_China,Preventing Maturity Grade ConDrive | Homologation L-labelled | Showstopper_Candidate,7
26-07,DTSV_China,Preventing Maturity Grade Customer Function | Homologation L-labelled | Top_Issue_Confirmed,7
