found_in_function,team,defect_category,ticket_count
25-03,IUK,Homologation L-labelled | Not Homologation relevant,1
25-03,IUK,Homologation L-labelled | Top_Issue_Confirmed,1
25-03,IUK,Homologation relevant,1
25-03,IUK,No_Showstopper_Candidate,1
25-03,IUK,Obstructing Maturity Grade ConDrive,1
25-03,IUK,Obstructing Maturity Grade ConDrive | Homologation L-labelled | Showstopper_Confirmed | Not Homologation relevant,1
25-03,IUK,Obstructing Maturity Grade ConDrive | Showstopper_Candidate,1
25-03,IUK,Obstructing Maturity Grade ConDrive | Showstopper_Confirmed,1
25-03,IUK,Preventing Maturity Grade ConDrive | Showstopper_Candidate,1
25-03,IUK,Preventing Maturity Grade ConDrive | Showstopper_Confirmed,1
25-03,IUK,Showstopper_Candidate | Homologation relevant,1
25-03,IuK_TSP_Fokusteam,Showstopper_Confirmed,1
25-03,IuK_TSP_Testautomatisation,Homologation L-labelled | Showstopper_Confirmed | Not Homologation relevant,1
25-03,IuK_TSP_VorIntegration,Obstructing Maturity Grade ConDrive | Showstopper_Candidate,1
25-03,[AT]W07-FIT,Homologation L-labelled | Showstopper_Confirmed | Not Homologation relevant,1
25-03,[AT]W72-FIT,Showstopper_Confirmed,1
25-03,[AT]supplier,Obstructing Maturity Grade ConDrive | Showstopper_Candidate,1
25-07,,Homologation L-labelled | No_Showstopper_Candidate,1
25-07,,Homologation L-labelled | No_Showstopper_Confirmed,1
25-07,,No Top Issue ExtInt | Homologation L-labelled | Showstopper_Confirmed,1
25-07,,Obstructing Maturity Grade ConDrive | Homologation L-labelled | Showstopper_Confirmed,1
25-07,,Preventing Maturity Grade ConDrive,1
25-07,,Preventing Maturity Grade ConDrive | Preventing Maturity Grade Customer Function | Homologation L-labelled | Showstopper_Confirmed,1
25-07,,Preventing Maturity Grade Customer Function | Showstopper_Confirmed,1
25-07,,Preventing Maturity Grade ExtInt | Preventing Maturity Grade Customer Function | Showstopper_Candidate,1
25-07,,Preventing Maturity Grade System Function | Homologation L-labelled | Showstopper_Confirmed,1
25-07,,Preventing Maturity Grade System Function | No_Showstopper_Confirmed,1
25-07,,Showstopper_Candidate | Buildability affected,1
25-07,,Showstopper_Candidate | No_Showstopper_Confirmed,1
25-07,,Top_Issue_Confirmed,1
25-07,DIPS,Buildability Obstruction | Showstopper_Confirmed | Buildability affected,1
25-07,DIPS,Buildability SOP | Preventing Maturity Grade ConDrive | Homologation L-labelled,1
25-07,DIPS,Buildability SOP | Preventing Maturity Grade Customer Function | Showstopper_Confirmed,1
25-07,DIPS,Buildability SOP | Showstopper_Candidate,1
25-07,DIPS,Escalation ADAS | Escalation General Testing | Preventing Maturity Grade Customer Function | Homologation L-labelled | Showstopper_Confirmed | Homologation relevant | Buildability affected,1
25-07,DIPS,Escalation ADAS | Obstructing Maturity Grade ConDrive | Escalation General Testing | Preventing Maturity Grade SI | Preventing Maturity Grade Customer Function | Homologation L-labelled | Showstopper_Confirmed | Not Homologation relevant,1
25-07,DIPS,Escalation ADAS | Obstructing Maturity Grade ConDrive | Preventing Maturity Grade Customer Function | Showstopper_Confirmed,1
25-07,DIPS,Escalation ConDrive | Buildability SOP | Preventing Maturity Grade ConDrive | Preventing Maturity Grade Customer Function | Homologation L-labelled | Not Homologation relevant,1
25-07,DIPS,Escalation ConDrive | Buildability SOP | Preventing Maturity Grade Customer Function | Showstopper_Confirmed,1
25-07,DIPS,Escalation ConDrive | Homologation L-labelled | Showstopper_Confirmed,1
25-07,DIPS,Escalation ConDrive | Homologation L-labelled | Showstopper_Confirmed | Buildability affected,1
25-07,DIPS,Escalation ConDrive | Obstructing Maturity Grade ExtInt | Preventing Maturity Grade Customer Function | Showstopper_Confirmed | Not Homologation relevant,1
25-07,DIPS,Escalation ConDrive | Preventing Maturity Grade ConDrive | Homologation L-labelled | Showstopper_Confirmed,1
25-07,DIPS,Escalation ConDrive | Preventing Maturity Grade ConDrive | Preventing Maturity Grade Customer Function | Showstopper_Confirmed | Buildability affected,1
25-07,DIPS,Escalation ConDrive | Preventing Maturity Grade Customer Function | Homologation L-labelled | Showstopper_Confirmed,1
25-07,DIPS,Escalation ConDrive | Preventing Maturity Grade Customer Function | Homologation L-labelled | Showstopper_Confirmed | Buildability affected,1
25-07,DIPS,Escalation ConDrive | Preventing Maturity Grade Customer Function | Showstopper_Confirmed | Buildability affected,1
25-07,DIPS,Escalation ExtInt | Obstructing Maturity Grade ConDrive | Preventing Maturity Grade Customer Function | No_Showstopper_Confirmed,1
25-07,DIPS,Escalation General Testing | Preventing Maturity Grade ConDrive | Buildability affected,1
25-07,DIPS,Escalation General Testing | Preventing Maturity Grade Customer Function | Homologation L-labelled | Showstopper_Candidate | Buildability affected,1
25-07,DIPS,Escalation General Testing | Preventing Maturity Grade Customer Function | Homologation L-labelled | Showstopper_Confirmed | Buildability affected,1
25-07,DIPS,Escalation Powertrain | Preventing Maturity Grade Customer Function | Showstopper_Confirmed | Escalation QZF,1
25-07,DIPS,Homologation L-labelled | Buildability affected,1
25-07,DIPS,Homologation L-labelled | Homologation relevant,1
25-07,DIPS,Homologation L-labelled | No_Showstopper_Candidate,1
25-07,DIPS,No Top Issue ExtInt | Escalation ConDrive | Preventing Maturity Grade Customer Function | Showstopper_Confirmed | Buildability affected,1
25-07,DIPS,No Top Issue ExtInt | Homologation L-labelled | Showstopper_Candidate,1
25-07,DIPS,No Top Issue ExtInt | Preventing General Testing | Preventing Maturity Grade Customer Function | Homologation L-labelled | Showstopper_Confirmed,1
25-07,DIPS,No_Showstopper_Confirmed | Not Homologation relevant,1
25-07,DIPS,Obstructing Maturity Grade ConDrive | Homologation L-labelled,1
25-07,DIPS,Obstructing Maturity Grade ConDrive | Homologation L-labelled | No_Showstopper_Confirmed,1
25-07,DIPS,Obstructing Maturity Grade ConDrive | Homologation L-labelled | No_Showstopper_Confirmed | Not Homologation relevant,1
25-07,DIPS,Obstructing Maturity Grade ConDrive | Homologation L-labelled | Showstopper_Candidate,1
25-07,DIPS,Obstructing Maturity Grade ConDrive | Homologation L-labelled | Showstopper_Candidate | No_Showstopper_Confirmed,1
25-07,DIPS,Obstructing Maturity Grade ConDrive | Homologation L-labelled | Showstopper_Candidate | No_Showstopper_Confirmed | Not Homologation relevant,1
25-07,DIPS,Obstructing Maturity Grade ConDrive | Homologation L-labelled | Showstopper_Confirmed,1
25-07,DIPS,Obstructing Maturity Grade ConDrive | Preventing Maturity Grade Customer Function | Homologation L-labelled | Showstopper_Confirmed,1
25-07,DIPS,Obstructing Maturity Grade ExtInt,1
25-07,DIPS,Obstructing Maturity Grade ExtInt | Homologation L-labelled | Not Homologation relevant | Top_Issue_Confirmed,1
25-07,DIPS,Obstructing Maturity Grade ExtInt | Preventing Maturity Grade Customer Function | Homologation L-labelled | Top_Issue_Confirmed,1
25-07,DIPS,Preventing General Testing | Preventing Maturity Grade ConDrive | Obstructing Maturity Grade ExtInt | Preventing Maturity Grade Customer Function | Showstopper_Confirmed,1
25-07,DIPS,Preventing Maturity Grade ADAS | Escalation ADAS | Obstructing Maturity Grade ConDrive | Homologation L-labelled | Showstopper_Candidate | No_Showstopper_Confirmed,1
25-07,DIPS,Preventing Maturity Grade ADAS | Escalation ADAS | Preventing Maturity Grade Customer Function | Homologation L-labelled | Showstopper_Confirmed,1
25-07,DIPS,Preventing Maturity Grade Basic Function | Obstructing Maturity Grade ExtInt | Homologation L-labelled | Showstopper_Confirmed,1
25-07,DIPS,Preventing Maturity Grade Basic Function | Preventing Maturity Grade ConDrive | Preventing Maturity Grade Customer Function | Showstopper_Confirmed,1
25-07,DIPS,Preventing Maturity Grade Basic Function | Preventing Maturity Grade Customer Function | Homologation L-labelled | Showstopper_Confirmed | Escalation QZF,1
25-07,DIPS,Preventing Maturity Grade ConDrive | Homologation L-labelled | Homologation relevant,1
25-07,DIPS,Preventing Maturity Grade ConDrive | Homologation L-labelled | Not Homologation relevant,1
25-07,DIPS,Preventing Maturity Grade ConDrive | Homologation L-labelled | Showstopper_Candidate,1
25-07,DIPS,Preventing Maturity Grade ConDrive | Homologation L-labelled | Showstopper_Candidate | Homologation relevant,1
25-07,DIPS,Preventing Maturity Grade ConDrive | Obstructing Maturity Grade System Function | Homologation L-labelled | Showstopper_Candidate | No_Showstopper_Confirmed | Not Homologation relevant,1
25-07,DIPS,Preventing Maturity Grade ConDrive | Preventing Maturity Grade Customer Function | Showstopper_Candidate,1
25-07,DIPS,Preventing Maturity Grade Customer Function | Homologation L-labelled | Showstopper_Candidate,1
25-07,DIPS,Preventing Maturity Grade Customer Function | Homologation L-labelled | Showstopper_Confirmed | Not Homologation relevant | Buildability affected,1
25-07,DIPS,Preventing Maturity Grade Customer Function | Not Homologation relevant | Top_Issue_Confirmed,1
25-07,DIPS,Preventing Maturity Grade ExtInt | Escalation ExtInt | Escalation General Testing | Preventing Maturity Grade Customer Function | Showstopper_Confirmed | Homologation relevant,1
25-07,DIPS,Preventing Maturity Grade ExtInt | Escalation ExtInt | Preventing General Testing | Preventing Maturity Grade SI | Preventing Maturity Grade ConDrive | Preventing Maturity Grade Customer Function | Homologation L-labelled | Showstopper_Confirmed,1
25-07,DIPS,Preventing Maturity Grade ExtInt | Homologation L-labelled | Showstopper_Candidate,1
25-07,DIPS,Preventing Maturity Grade ExtInt | Preventing Maturity Grade Customer Function | Homologation L-labelled | Showstopper_Confirmed,1
25-07,DIPS,Preventing Maturity Grade Powertrain | Escalation ConDrive | Preventing Maturity Grade SI | Preventing Maturity Grade ConDrive | Preventing Maturity Grade Customer Function | Homologation L-labelled | Showstopper_Confirmed | Buildability affected,1
25-07,DIPS,Preventing Maturity Grade Powertrain | Preventing Maturity Grade Customer Function | Homologation L-labelled | Showstopper_Confirmed | Not Homologation relevant,1
25-07,DIPS,Preventing Maturity Grade System Function | Escalation ConDrive | Preventing General Testing | Escalation General Testing | Preventing Maturity Grade SI | Escalation SI | Preventing Maturity Grade ConDrive | Showstopper M50 | Showstopper_Candidate,1
25-07,DIPS,Preventing Maturity Grade System Function | Escalation ConDrive | Preventing Maturity Grade EnBN | Escalation EnBN | Buildability SOP | Escalation General Testing | Preventing Maturity Grade Customer Function | Showstopper_Confirmed,1
25-07,DIPS,Preventing Maturity Grade System Function | Escalation ExtInt | Buildability SOP | Preventing Maturity Grade ConDrive | Homologation L-labelled | Showstopper_Confirmed | Not Homologation relevant,1
25-07,DIPS,Preventing Maturity Grade System Function | Escalation System Function | Preventing Maturity Grade ExtInt | Escalation General Testing | Preventing Maturity Grade SI | Preventing Maturity Grade ConDrive | Showstopper Customer Function | Homologation L-labelled | Showstopper_Confirmed | Homologation relevant | Not Homologation relevant,1
25-07,DIPS,Preventing Maturity Grade System Function | Escalation System Function | Preventing Maturity Grade SI | Homologation L-labelled | Showstopper_Confirmed,1
25-07,DIPS,Preventing Maturity Grade System Function | Escalation System Function | Preventing Maturity Grade SI | Preventing Maturity Grade Customer Function | Homologation L-labelled | Top_Issue_Confirmed,1
25-07,DIPS,Preventing Maturity Grade System Function | Homologation L-labelled | Showstopper_Candidate,1
25-07,DIPS,Preventing Maturity Grade System Function | Preventing Maturity Grade ConDrive | Homologation L-labelled,1
25-07,DIPS,Preventing Maturity Grade System Function | Preventing Maturity Grade SI | Escalation SI | Homologation L-labelled | Showstopper_Candidate,1
25-07,DIPS,Preventing Maturity Grade System Function | Top_Issue_Confirmed,1
25-07,DIPS,Showstopper_Candidate | Buildability affected,1
25-07,DIPS,Showstopper_Candidate | No_Showstopper_Confirmed,1
25-07,DIPS,Showstopper_Confirmed | Buildability affected,1
25-07,DIPS_TSP_Car_Apps,No_Showstopper_Confirmed,1
25-07,DTSV_China,Buildability SOP | Showstopper_Confirmed,1
25-07,DTSV_China,Escalation ADAS | Showstopper_Candidate,1
25-07,DTSV_China,Escalation ConDrive | Preventing Maturity Grade ConDrive | Preventing Maturity Grade Customer Function | Showstopper_Confirmed,1
25-07,DTSV_China,Escalation ConDrive | Preventing Maturity Grade Customer Function | Showstopper_Confirmed,1
25-07,DTSV_China,Homologation L-labelled | Homologation relevant,1
25-07,DTSV_China,Homologation L-labelled | No_Showstopper_Confirmed,1
25-07,DTSV_China,No_Showstopper_Candidate | Not Homologation relevant,1
25-07,DTSV_China,Not Homologation relevant | Top_Issue_Confirmed,1
25-07,DTSV_China,Obstructing Maturity Grade ConDrive | Homologation L-labelled,1
25-07,DTSV_China,Obstructing Maturity Grade ConDrive | Preventing Maturity Grade SI | No_Showstopper_Confirmed,1
25-07,DTSV_China,Obstructing Maturity Grade ExtInt,1
25-07,DTSV_China,Obstructing Maturity Grade ExtInt | Showstopper_Confirmed,1
25-07,DTSV_China,Obstructing Maturity Grade System Function | Homologation L-labelled | Showstopper_Confirmed,1
25-07,DTSV_China,Obstructing Maturity Grade System Function | Showstopper_Candidate,1
25-07,DTSV_China,Preventing Maturity Grade ConDrive | Homologation L-labelled,1
25-07,DTSV_China,Preventing Maturity Grade ConDrive | Homologation L-labelled | Showstopper_Confirmed,1
25-07,DTSV_China,Preventing Maturity Grade ConDrive | Preventing Maturity Grade Customer Function | Homologation L-labelled | Showstopper_Confirmed,1
25-07,DTSV_China,Preventing Maturity Grade ConDrive | Preventing Maturity Grade Customer Function | Homologation L-labelled | Showstopper_Confirmed | Not Homologation relevant,1
25-07,DTSV_China,Preventing Maturity Grade ConDrive | Showstopper_Candidate | Homologation relevant,1
25-07,DTSV_China,Preventing Maturity Grade ConDrive | Showstopper_Candidate | Not Homologation relevant,1
25-07,DTSV_China,Preventing Maturity Grade Customer Function | Not Homologation relevant | Top_Issue_Confirmed,1
25-07,DTSV_China,Preventing Maturity Grade Customer Function | Showstopper_Candidate,1
25-07,DTSV_China,Preventing Maturity Grade Customer Function | Showstopper_Confirmed | Escalation QZF,1
25-07,DTSV_China,Preventing Maturity Grade SI | Showstopper_Candidate,1
25-07,DTSV_China,Preventing Maturity Grade System Function | Escalation ConDrive | Escalation General Testing | Preventing Maturity Grade Customer Function | Homologation L-labelled | Showstopper_Confirmed | Buildability affected,1
25-07,DTSV_China,Preventing Maturity Grade System Function | Preventing Maturity Grade Customer Function | Homologation L-labelled | Showstopper_Confirmed,1
25-07,DTSV_Japan,Preventing Maturity Grade ConDrive | Showstopper_Candidate | Not Homologation relevant,1
25-07,DTSV_Japan,Preventing Maturity Grade ConDrive | Showstopper_Confirmed,1
25-07,DTSV_Japan,Preventing Maturity Grade Customer Function | Showstopper_Confirmed,1
25-07,DTSV_Japan,Showstopper_Confirmed,1
25-07,DTSV_Korea,Obstructing Maturity Grade ConDrive | Showstopper_Confirmed,1
25-07,DTSV_MUC_IuK,Top_Issue_Confirmed,1
25-07,DTSV_WCL,Homologation L-labelled | Showstopper_Confirmed,1
25-07,DTSV_WCL,Homologation L-labelled | Showstopper_Confirmed | Not Homologation relevant,1
25-07,EE-FIT_SYS25_INM,Preventing Maturity Grade Customer Function | Showstopper_Confirmed | Not Homologation relevant,1
25-07,IUK,Escalation ConDrive | Escalation General Testing | Preventing Maturity Grade Customer Function | Homologation L-labelled | Showstopper_Confirmed,1
25-07,IUK,Escalation ConDrive | Escalation General Testing | Showstopper M50 | Preventing Maturity Grade Customer Function | Showstopper_Confirmed,1
25-07,IUK,Escalation ConDrive | Preventing Maturity Grade ConDrive | Obstructing Maturity Grade ExtInt | Preventing Maturity Grade Customer Function | Showstopper_Confirmed,1
25-07,IUK,Escalation ConDrive | Preventing Maturity Grade ConDrive | Preventing Maturity Grade Customer Function | Homologation L-labelled | Showstopper_Confirmed | Not Homologation relevant,1
25-07,IUK,Escalation ConDrive | Preventing Maturity Grade Customer Function | Homologation L-labelled | Showstopper_Confirmed | Buildability affected,1
25-07,IUK,Escalation ConDrive | Showstopper_Confirmed | Not Homologation relevant,1
25-07,IUK,Escalation General Testing | Preventing Maturity Grade ConDrive | Showstopper_Confirmed,1
25-07,IUK,Homologation L-labelled | Top_Issue_Confirmed,1
25-07,IUK,Obstructing Maturity Grade ConDrive | Homologation L-labelled | Showstopper_Candidate | Not Homologation relevant,1
25-07,IUK,Obstructing Maturity Grade ConDrive | No_Showstopper_Confirmed | Not Homologation relevant,1
25-07,IUK,Obstructing Maturity Grade ConDrive | Obstructing Maturity Grade ExtInt,1
25-07,IUK,Obstructing Maturity Grade ConDrive | Obstructing Maturity Grade System Function | Showstopper_Candidate,1
25-07,IUK,Obstructing Maturity Grade ConDrive | Preventing Maturity Grade Customer Function | Homologation L-labelled | Showstopper_Candidate | No_Showstopper_Confirmed,1
25-07,IUK,Obstructing Maturity Grade ConDrive | Preventing Maturity Grade Customer Function | Homologation L-labelled | Showstopper_Confirmed | Not Homologation relevant,1
25-07,IUK,Obstructing Maturity Grade ConDrive | Preventing Maturity Grade Customer Function | Showstopper_Confirmed | Not Homologation relevant,1
25-07,IUK,Obstructing Maturity Grade ConDrive | Showstopper_Candidate | No_Showstopper_Confirmed | Not Homologation relevant,1
25-07,IUK,Obstructing Maturity Grade ConDrive | Showstopper_Confirmed,1
25-07,IUK,Obstructing Maturity Grade ExtInt | Homologation L-labelled | Showstopper_Confirmed,1
25-07,IUK,Preventing Maturity Grade ADAS | Escalation ADAS | Escalation ConDrive | Preventing Maturity Grade Customer Function | Homologation L-labelled | Showstopper_Confirmed,1
25-07,IUK,Preventing Maturity Grade ConDrive | Homologation L-labelled | Showstopper_Confirmed | Homologation relevant,1
25-07,IUK,Preventing Maturity Grade ConDrive | Preventing Maturity Grade Customer Function,1
25-07,IUK,Preventing Maturity Grade ConDrive | Preventing Maturity Grade Customer Function | Showstopper_Candidate,1
25-07,IUK,Preventing Maturity Grade ConDrive | Preventing Maturity Grade Customer Function | Showstopper_Confirmed | Not Homologation relevant,1
25-07,IUK,Preventing Maturity Grade ConDrive | Showstopper M50 | Showstopper_Confirmed,1
25-07,IUK,Preventing Maturity Grade ConDrive | Showstopper_Confirmed | Not Homologation relevant,1
25-07,IUK,Preventing Maturity Grade ExtInt | Escalation ExtInt | Escalation ConDrive | Preventing Maturity Grade ConDrive | Preventing Maturity Grade Customer Function | Showstopper_Confirmed | Not Homologation relevant,1
25-07,IUK,Preventing Maturity Grade ExtInt | Escalation General Testing | Preventing Maturity Grade SI | Preventing Maturity Grade ConDrive | Homologation L-labelled | Showstopper_Confirmed,1
25-07,IUK,Preventing Maturity Grade ExtInt | Preventing General Testing | Preventing Maturity Grade ConDrive | Preventing Maturity Grade Customer Function | Showstopper_Confirmed | Not Homologation relevant,1
25-07,IUK,Preventing Maturity Grade ExtInt | Preventing Maturity Grade ConDrive | Homologation L-labelled | Showstopper_Confirmed | Not Homologation relevant,1
25-07,IUK,Preventing Maturity Grade System Function | Buildability SOP | Preventing Maturity Grade ConDrive | Homologation L-labelled | Showstopper_Confirmed,1
25-07,IUK,Preventing Maturity Grade System Function | Escalation Powertrain | Obstructing Maturity Grade ConDrive | Preventing Maturity Grade Customer Function | Homologation L-labelled | Showstopper_Confirmed,1
25-07,IUK,Preventing Maturity Grade System Function | Escalation System Function | Preventing Maturity Grade ConDrive | Showstopper M50 | Homologation L-labelled | Showstopper_Confirmed,1
25-07,IUK,Preventing Maturity Grade System Function | Homologation L-labelled | Showstopper_Confirmed,1
25-07,IUK,Showstopper Customer Function | Showstopper_Candidate,1
25-07,IUK,Showstopper_Confirmed | Not Homologation relevant,1
25-07,IuK_CoC_CCC,Preventing Maturity Grade Customer Function | Homologation L-labelled | Showstopper_Confirmed | Escalation QZF,1
25-07,IuK_CoC_eCall,Homologation L-labelled | Showstopper_Candidate | Not Homologation relevant,1
25-07,IuK_TSP_Entertainment,,1
25-07,IuK_TSP_HMI,Showstopper_Candidate,1
25-07,Iuk_CoC_CDSERV_JAP,Homologation L-labelled | Showstopper_Confirmed | Not Homologation relevant,1
25-07,MGU_Stability_Analysis,Buildability Obstruction | Showstopper_Confirmed | Buildability affected,1
25-07,MGU_Stability_Analysis,Showstopper_Candidate,1
25-07,[AT]BBA_Basis-FIT,Obstructing Maturity Grade ExtInt | Showstopper_Candidate,1
25-07,[AT]CoC_EI_IuK,Showstopper_Confirmed,1
25-07,[AT]CoC_EI_IuK_China,No_Showstopper_Confirmed,1
25-07,[AT]FIT_LAENDER_CHINA,,1
25-07,[AT]SysVal_China,Showstopper_Candidate,1
25-07,[AT]W0-Analysis,Showstopper_Confirmed | Buildability Blocker,1
25-07,[AT]W09-FIT,Homologation L-labelled | Showstopper_Confirmed,1
25-07,[AT]W10-Analysis,Showstopper_Confirmed,1
25-07,[AT]W71-FIT,,1
25-07,[AT]W71-FIT,Obstructing Maturity Grade ConDrive | Showstopper_Candidate,1
25-07,[AT]W71-FIT,Showstopper_Candidate,1
25-07,[AT]W72-FIT,Homologation L-labelled | Showstopper_Candidate,1
25-07,[AT]W72-FIT,Homologation L-labelled | Showstopper_Confirmed | Not Homologation relevant,1
25-11,,Homologation L-labelled,1
25-11,,Homologation L-labelled | Showstopper_Candidate,1
25-11,,No_Showstopper_Candidate,1
25-11,,Preventing Maturity Grade ConDrive | Preventing Maturity Grade Customer Function | Homologation L-labelled | Showstopper_Confirmed,1
25-11,DIPS,Escalation ADAS | Homologation L-labelled | Top_Issue_Confirmed,1
25-11,DIPS,Escalation ConDrive | Escalation General Testing | Preventing Maturity Grade ConDrive | Showstopper M50 | Preventing Maturity Grade Customer Function | Homologation L-labelled | Showstopper_Confirmed | Not Homologation relevant,1
25-11,DIPS,Escalation ConDrive | Escalation General Testing | Preventing Maturity Grade Customer Function | Showstopper_Confirmed | Buildability affected,1
25-11,DIPS,Escalation ConDrive | Escalation General Testing | Showstopper M50 | Preventing Maturity Grade Customer Function | Homologation L-labelled | Showstopper_Confirmed,1
25-11,DIPS,Escalation ConDrive | Obstructing Maturity Grade ExtInt | Homologation L-labelled | Top_Issue_Confirmed,1
25-11,DIPS,Escalation ConDrive | Preventing Maturity Grade ConDrive | Homologation L-labelled | Showstopper_Confirmed | Buildability affected,1
25-11,DIPS,Escalation ConDrive | Preventing Maturity Grade Customer Function | Showstopper_Confirmed,1
25-11,DIPS,Escalation ConDrive | Preventing Maturity Grade Customer Function | Showstopper_Confirmed | Buildability affected,1
25-11,DIPS,Escalation ConDrive | Showstopper M50 | Preventing Maturity Grade Customer Function | Homologation L-labelled | Showstopper_Confirmed,1
25-11,DIPS,Escalation ConDrive | Showstopper_Confirmed,1
25-11,DIPS,Escalation SI | Preventing Maturity Grade Customer Function | Homologation L-labelled | Showstopper_Confirmed | Buildability affected,1
25-11,DIPS,Homologation L-labelled,1
25-11,DIPS,Homologation L-labelled | No_Showstopper_Confirmed,1
25-11,DIPS,Homologation L-labelled | Showstopper_Confirmed | Not Homologation relevant,1
25-11,DIPS,No Top Issue ExtInt | Escalation ConDrive | Not Homologation relevant | Top_Issue_Confirmed,1
25-11,DIPS,No Top Issue ExtInt | Homologation L-labelled | Top_Issue_Confirmed,1
25-11,DIPS,Obstructing Maturity Grade ConDrive | Showstopper_Candidate,1
25-11,DIPS,Obstructing Maturity Grade ExtInt | Preventing Maturity Grade Customer Function | Not Homologation relevant | Top_Issue_Confirmed,1
25-11,DIPS,Obstructing Maturity Grade ExtInt | Preventing Maturity Grade Customer Function | Showstopper_Confirmed,1
25-11,DIPS,Obstructing Maturity Grade ExtInt | Showstopper_Confirmed,1
25-11,DIPS,Obstructing Maturity Grade System Function | Homologation L-labelled | Top_Issue_Confirmed,1
25-11,DIPS,Preventing Maturity Grade ADAS | Escalation ADAS | Preventing Maturity Grade SI | Preventing Maturity Grade Customer Function | Homologation L-labelled | Showstopper_Confirmed,1
25-11,DIPS,Preventing Maturity Grade ADAS | Homologation L-labelled | Top_Issue_Confirmed,1
25-11,DIPS,Preventing Maturity Grade ConDrive,1
25-11,DIPS,Preventing Maturity Grade ConDrive | Homologation L-labelled,1
25-11,DIPS,Preventing Maturity Grade ConDrive | Homologation L-labelled | Showstopper_Confirmed,1
25-11,DIPS,Preventing Maturity Grade ConDrive | Homologation L-labelled | Showstopper_Confirmed | Buildability affected,1
25-11,DIPS,Preventing Maturity Grade ConDrive | Preventing Maturity Grade Customer Function | Showstopper_Confirmed | Buildability affected,1
25-11,DIPS,Preventing Maturity Grade ConDrive | Showstopper_Confirmed,1
25-11,DIPS,Preventing Maturity Grade ConDrive | Top_Issue_Confirmed,1
25-11,DIPS,Preventing Maturity Grade Customer Function | Homologation L-labelled | Top_Issue_Confirmed,1
25-11,DIPS,Preventing Maturity Grade Customer Function | Showstopper_Candidate,1
25-11,DIPS,Preventing Maturity Grade Customer Function | Showstopper_Confirmed | Not Homologation relevant,1
25-11,DIPS,Preventing Maturity Grade Energy Management | Showstopper_Confirmed,1
25-11,DIPS,Preventing Maturity Grade ExtInt | Escalation ConDrive | Escalation General Testing | Preventing Maturity Grade Customer Function | Homologation L-labelled | Showstopper_Confirmed,1
25-11,DIPS,Preventing Maturity Grade ExtInt | Escalation ExtInt | Preventing Maturity Grade Customer Function | Showstopper_Confirmed,1
25-11,DIPS,Preventing Maturity Grade System Function | Escalation ConDrive | Preventing Maturity Grade Customer Function | Showstopper_Confirmed | Buildability affected,1
25-11,DIPS,Preventing Maturity Grade System Function | Preventing Maturity Grade Powertrain | Escalation Powertrain | Escalation ConDrive | Showstopper_Candidate | Buildability affected,1
25-11,DIPS,Showstopper M50 | Homologation L-labelled | Showstopper_Confirmed | Not Homologation relevant,1
25-11,DIPS,Showstopper M50 | Preventing Maturity Grade Customer Function | Homologation L-labelled | Showstopper_Confirmed,1
25-11,DIPS,Showstopper M50 | Showstopper_Confirmed,1
25-11,DIPS_TSP_Remote_Services,,1
25-11,DTSV_China,Homologation L-labelled | No_Showstopper_Candidate,1
25-11,DTSV_China,Homologation L-labelled | No_Showstopper_Confirmed,1
25-11,DTSV_China,Homologation L-labelled | Showstopper_Candidate | Homologation relevant | Not Homologation relevant,1
25-11,DTSV_China,Homologation L-labelled | Showstopper_Candidate | Not Homologation relevant,1
25-11,DTSV_China,Not Homologation relevant | Top_Issue_Confirmed,1
25-11,DTSV_China,Obstructing Maturity Grade ConDrive | Obstructing Maturity Grade ExtInt | Homologation L-labelled,1
25-11,DTSV_China,Obstructing Maturity Grade ConDrive | Showstopper_Candidate,1
25-11,DTSV_China,Preventing Maturity Grade Customer Function,1
25-11,DTSV_China,Preventing Maturity Grade Customer Function | Showstopper_Candidate,1
25-11,DTSV_China,Preventing Maturity Grade ExtInt | Homologation L-labelled,1
25-11,DTSV_China,Preventing Maturity Grade System Function | Homologation L-labelled | Showstopper_Candidate,1
25-11,DTSV_China,Showstopper M50 | Preventing Maturity Grade Customer Function | Homologation L-labelled | Showstopper_Confirmed,1
25-11,IUK,Escalation ConDrive | Preventing Maturity Grade ConDrive | Preventing Maturity Grade Customer Function | Homologation L-labelled | Top_Issue_Confirmed,1
25-11,IUK,Escalation ConDrive | Showstopper_Confirmed,1
25-11,IUK,Escalation General Testing | Preventing Maturity Grade ConDrive | Preventing Maturity Grade Customer Function | Showstopper_Confirmed,1
25-11,IUK,Escalation SI | Homologation L-labelled | Showstopper_Candidate | No_Showstopper_Confirmed,1
25-11,IUK,Homologation L-labelled,1
25-11,IUK,Not Homologation relevant | Top_Issue_Confirmed,1
25-11,IUK,Obstructing Maturity Grade ConDrive | Obstructing Maturity Grade System Function | Homologation L-labelled,1
25-11,IUK,Obstructing Maturity Grade ConDrive | Showstopper_Candidate | No_Showstopper_Confirmed,1
25-11,IUK,Obstructing Maturity Grade System Function | Homologation L-labelled | Showstopper_Confirmed,1
25-11,IUK,Preventing Maturity Grade ADAS | Showstopper M50 | Preventing Maturity Grade Customer Function | Homologation L-labelled | Showstopper_Confirmed,1
25-11,IUK,Preventing Maturity Grade ConDrive | Homologation L-labelled | Top_Issue_Confirmed,1
