Test Scope,Test Type,Test Module,Attribute,Component,Probability,Impact,Risk & Priority,,Customer Cases,Test Step,Ticket,CW52-02,Ticket,CW03,Ticket,CW04,Ticket,CW06-07,Ticket,CW09,Ticket,CW10,Ticket,CW11,Ticket,CW12,Ticket,CW13,Ticket,CW14,Ticket,CW15,Ticket,CW16,Ticket,CW17,Ticket,CW19,Ticket,CW20,Ticket,CW21,Ticket,CW22,Ticket,CW23,Ticket,CW24,Ticket,CW25,Ticket,CW26,Ticket
,"Reliability
可靠性","System RSU
RSU升级后的可用性",,,Low Rate,High Impact,12,,"speech persistance after system RSU
RSU更新后语音是否正常使用","RSU update should not influence user data, so speech should always work normally after RSU
28.RSU更新系统后可用性
系统RSU后，语音能够正常使用",,No Run,,No Run,,No Run,,No Run,,No Run,,No Run,,No Run,,No Run,,No Run,,No Run,,No Run,,No Run,,Blocked,,Blocked,,Blocked,,Blocked,,,,,,,,,,,
,"Reliability
可靠性","App update
应用升级后的可用性",,,Low Rate,High Impact,12,,"speech persistance after speech app update
app更新后语音是否正常使用","speech function should be normal after app update
29.App更新后可用性
每周speech发版更新后，语音能够正常使用",,pass,,pass,,pass,,pass,,pass,,pass,,pass,,Pass,,Fail,2205697,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Blocked,2267494*,,,,,,,,,,
"Dynamic Roadtest
动态路测","Reliability
可靠性","Network
网络波动",,,High Rate,High Impact,16,,"speech recover under poor network
网络稳定性测试","check speech capability during weak network
30.弱网环境可用性
检验弱网/无网环境，onboard指令切换(如车窗控制、地图显示控制), 在线语音在网络恢复后,能立即工作(如POI搜索)
31.正常行驶稳定性
检查正常行驶时，是否频繁出现timeout (单个LC出现超过3次以上)",,Fail,2109400,Pass,,pass,,pass,,pass,,pass,,pass,,Pass,,Pass,,Pass,,Fail,"2223183
2213967(master)",Fail,2213967(master),Fail,2213967(master),Fail,2242346,Fail,2242346,Fail,2242346,,,,,,,,,,
"Special test on demand
按需测试","RBT- Risk based testing
基于风险的测试","Other Test
其他识别到的风险",,,Low Rate,Moderate Impact,9,"*function change based testing
基于功能变化的测试(需要动态评估)","function change based on other features(e.g. NAV)
功能变化验证-基于feature","speech should change according to feature change
32.new functions
如导航2503新增BMW超级充电站,语音新增的mee too,主动问候等",,Pass,,Pass,,Fail,2135575,Fail,2135575,Fail,2135575,pass,,Fail,2190577,Fail,2190577,Fail,2190577,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,,,,,,,,,,
"Market
基于市场","HK / MO
香港/ 澳门","Right hand drive 
基于右舵",,,Low Rate,Extremely High Impact,15,"specific cases for different markets
基于特定市场的测试","HK/MC right-hand driving-activation 
特定市场-港澳右舵","press PTT button to activate speech, only driver side(right hand) can input command 
33.香港右舵唤醒音区
主驾mic定义在右侧，因此PTT唤醒后识别位在右侧",,blocked,,blocked,,blocked,,blocked,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,,,,,,,,,,
"Market
基于市场","HK / MO
香港/ 澳门","Speech - Traditional Chinese
使用语言-粤语",,,Low Rate,Moderate Impact,9,,"STT and TTS Cantonese
特定市场-STT和TTS粤语适配","STT is in traditional Chinese; TTS is Cantonese 
34.粤语TTS
TTS播报为粤语，STT显示为繁体",,Pass,,Pass,,Pass,,Pass,,Pass,,Fail,2177267,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,,,,,,,,,,
"Interoperability
互操作性","Cross ECU
跨控制器",CID,,,Almost Impossible,High Impact,4,"use speech to control other ECUs
语音跨ECU控制","interaction with CID - CCM
CCM 显示时语音交互","should follow ABK priority matrix
35.speech activation when CCM exists
CCM显示时，无法唤醒语音",,blocked,,blocked,,blocked,,blocked,,blocked,,blocked,,Fail,2191301,Fail,2191301,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,,,,,,,,,,
,,,,,Low Rate,Low Impact,6,,unbund case on PHUD,"36.语言输入'确认','好的'等,能够正确响应e.g. IPA 'yes, please'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fail,2262796,Fail,2262796,,,,,,,,,,
,,,,,High Rate,Moderate Impact,12,,"interaction with PHUD
IPA visual 虚拟形象显示","acitvate speech and check IPA visual appear/disappear
37.IPA visual形象显示
正常无缺失，并可自由切换和调整显示
38.IPA visual performance
无明显延时,尤其是在有导航时或其他particle contents时",2099826,Fail,"2111155
2110979",Fail,2110979,Fail,2103889,Pass,,Fail,"2168056
2110979",Fail,"2110979
2182347
2185333
2182353
2182348
2182512",Fail,"2110979
2182347
2182353
2182348
2158519",Fail,2110979,Fail,"2110979
2200115 ",Fail,"2110979
2200115 
2158519
2178798",Fail,"2110979
2225418 dup to 2158519",Fail,"2110979
2158519",Fail,"2110979
2158519",Fail,"2110979
2158519
2226919",Fail,"2158519
2226919
2263333",Fail,"2158519
2263333",,,,,,,,,,
"Interoperability
互操作性","Cross ECU
跨控制器",PADI,,,High Rate,High Impact,16,"use speech for vehicle control
语音车控测试","control A/C of multi temp zone 
控制多温区空调(G48/G68/G70LCI...)","39. A/C on/off front seat
空调开关及相关热词
40.adjust FAN speed front seat
调节风量及相关热词,自动空调,车窗除雾
41.adjust temp front seat
调节温度及相关热词
42. A/C on/off rear seat
后排空调开关及相关热词
43.adjust FAN speed rear seat
后排调节风量及相关热词,自动空调,车窗除雾
44.adjust temp rear seat
后排调节温度及相关热词",2103674,Fail,2103674,pass,,Fail,2138210,Fail,2141892,Fail,2141892,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Pass,,Fail,2180930（reopen),Fail,"2180930
2247115",Fail,"2180930
2245398(maaster",Blocked,,,,,,,,,,,
